Username,Repo_name,Stars,Repo_url
mrdoob,three.js,100000,http://github.com/mrdoob/three.js
pmndrs,react-three-fiber,26000,http://github.com/pmndrs/react-three-fiber
libgdx,libgdx,22000,http://github.com/libgdx/libgdx
BabylonJS,Babylon.js,22000,http://github.com/BabylonJS/Babylon.js
ssloy,tinyrenderer,19000,http://github.com/ssloy/tinyrenderer
FreeCAD,FreeCAD,18000,http://github.com/FreeCAD/FreeCAD
lettier,3d-game-shaders-for-beginners,17000,http://github.com/lettier/3d-game-shaders-for-beginners
aframevr,aframe,16000,http://github.com/aframevr/aframe
CesiumGS,cesium,12000,http://github.com/CesiumGS/cesium
blender,blender,12000,http://github.com/blender/blender
MonoGame,MonoGame,11000,http://github.com/MonoGame/MonoGame
mapbox,mapbox-gl-js,10000,http://github.com/mapbox/mapbox-gl-js
isl-org,Open3D,10000,http://github.com/isl-org/Open3D
metafizzy,zdog,10000,http://github.com/metafizzy/zdog
timzhang642,3D-Machine-Learning,9000,http://github.com/timzhang642/3D-Machine-Learning
nerfstudio-project,nerfstudio,8000,http://github.com/nerfstudio-project/nerfstudio
a1studmuffin,SpaceshipGenerator,7000,http://github.com/a1studmuffin/SpaceshipGenerator
FyroxEngine,Fyrox,7000,http://github.com/FyroxEngine/Fyrox
domlysz,BlenderGIS,7000,http://github.com/domlysz/BlenderGIS
4ian,GDevelop,7000,http://github.com/4ian/GDevelop
