Username,Repo_name,Stars,Repo_url
public-apis,public-apis,297000,http://github.com/public-apis/public-apis
neovim,neovim,79000,http://github.com/neovim/neovim
tiangolo,fastapi,73000,http://github.com/tiangolo/fastapi
strapi,strapi,61000,http://github.com/strapi/strapi
hoppscotch,hoppscotch,61000,http://github.com/hoppscotch/hoppscotch
ocornut,imgui,57000,http://github.com/ocornut/imgui
slatedocs,slate,35000,http://github.com/slatedocs/slate
QuivrHQ,quivr,34000,http://github.com/QuivrHQ/quivr
Kong,insomnia,33000,http://github.com/Kong/insomnia
trpc,trpc,33000,http://github.com/trpc/trpc
httpie,cli,32000,http://github.com/httpie/cli
ccxt,ccxt,31000,http://github.com/ccxt/ccxt
hasura,graphql-engine,30000,http://github.com/hasura/graphql-engine
Binaryify,NeteaseCloudMusicApi,30000,http://github.com/Binaryify/NeteaseCloudMusicApi
encode,django-rest-framework,27000,http://github.com/encode/django-rest-framework
YMFE,yapi,27000,http://github.com/YMFE/yapi
directus,directus,26000,http://github.com/directus/directus
littlecodersh,ItChat,25000,http://github.com/littlecodersh/ItChat
PostgREST,postgrest,22000,http://github.com/PostgREST/postgrest
microsoft,api-guidelines,22000,http://github.com/microsoft/api-guidelines
