Username,Repo_name,Stars,Repo_url
bitwarden,server,14000,http://github.com/bitwarden/server
abpframework,abp,12000,http://github.com/abpframework/abp
dotnet,AspNetCore.Docs,12000,http://github.com/dotnet/AspNetCore.Docs
aspnetboilerplate,aspnetboilerplate,11000,http://github.com/aspnetboilerplate/aspnetboilerplate
nopSolutions,nopCommerce,9000,http://github.com/nopSolutions/nopCommerce
ElectronNET,Electron.NET,7000,http://github.com/ElectronNET/Electron.NET
thangchung,clean-code-dotnet,6000,http://github.com/thangchung/clean-code-dotnet
RicoSuter,NSwag,6000,http://github.com/RicoSuter/NSwag
FastEndpoints,FastEndpoints,4000,http://github.com/FastEndpoints/FastEndpoints
dotnet,aspnet-api-versioning,3000,http://github.com/dotnet/aspnet-api-versioning
smartstore,SmartStoreNET,2000,http://github.com/smartstore/SmartStoreNET
mjebrahimi,Awesome-Microservices-DotNet,2000,http://github.com/mjebrahimi/Awesome-Microservices-DotNet
serenity-is,Serenity,2000,http://github.com/serenity-is/Serenity
loic-sharma,BaGet,2000,http://github.com/loic-sharma/BaGet
JimBobSquarePants,ImageProcessor,2000,http://github.com/JimBobSquarePants/ImageProcessor
milanm,DotNet-Developer-Roadmap,1000,http://github.com/milanm/DotNet-Developer-Roadmap
TrilonIO,aspnetcore-angular-universal,1000,http://github.com/TrilonIO/aspnetcore-angular-universal
MarimerLLC,csla,1000,http://github.com/MarimerLLC/csla
TrilonIO,aspnetcore-Vue-starter,1000,http://github.com/TrilonIO/aspnetcore-Vue-starter
smartstore,Smartstore,1000,http://github.com/smartstore/Smartstore
