Username,Repo_name,Stars,Repo_url
ljianshu,Blog,7000,http://github.com/ljianshu/Blog
metafizzy,infinite-scroll,7000,http://github.com/metafizzy/infinite-scroll
olifolkerd,tabulator,6000,http://github.com/olifolkerd/tabulator
developit,unfetch,5000,http://github.com/developit/unfetch
jquery-form,form,5000,http://github.com/jquery-form/form
Studio-42,elFinder,4000,http://github.com/Studio-42/elFinder
elbywan,wretch,4000,http://github.com/elbywan/wretch
dwyl,learn-to-send-email-via-google-script-html-no-server,3000,http://github.com/dwyl/learn-to-send-email-via-google-script-html-no-server
ded,reqwest,2000,http://github.com/ded/reqwest
wendux,ajax-hook,2000,http://github.com/wendux/ajax-hook
LeaVerou,bliss,2000,http://github.com/LeaVerou/bliss
noelboss,featherlight,2000,http://github.com/noelboss/featherlight
craftpip,jquery-confirm,1000,http://github.com/craftpip/jquery-confirm
k8w,tsrpc,1000,http://github.com/k8w/tsrpc
nette,tracy,1000,http://github.com/nette/tracy
taoensso,sente,1000,http://github.com/taoensso/sente
loadingio,css-spinner,1000,http://github.com/loadingio/css-spinner
joaomilho,Enterprise,1000,http://github.com/joaomilho/Enterprise
codingforentrepreneurs,eCommerce,1000,http://github.com/codingforentrepreneurs/eCommerce
MoOx,pjax,1000,http://github.com/MoOx/pjax
