Username,Repo_name,Stars,Repo_url
jwasham,coding-interview-university,298000,http://github.com/jwasham/coding-interview-university
trekhleb,javascript-algorithms,185000,http://github.com/trekhleb/javascript-algorithms
TheAlgorithms,Python,182000,http://github.com/TheAlgorithms/Python
CyC2018,CS-Notes,173000,http://github.com/CyC2018/CS-Notes
yangshun,tech-interview-handbook,114000,http://github.com/yangshun/tech-interview-handbook
krahets,hello-algo,79000,http://github.com/krahets/hello-algo
kdn251,interviews,62000,http://github.com/kdn251/interviews
TheAlgorithms,Java,57000,http://github.com/TheAlgorithms/Java
azl397985856,leetcode,54000,http://github.com/azl397985856/leetcode
youngyangyang04,leetcode-master,48000,http://github.com/youngyangyang04/leetcode-master
algorithm-visualizer,algorithm-visualizer,46000,http://github.com/algorithm-visualizer/algorithm-visualizer
huihut,interview,33000,http://github.com/huihut/interview
halfrost,LeetCode-Go,32000,http://github.com/halfrost/LeetCode-Go
TheAlgorithms,JavaScript,31000,http://github.com/TheAlgorithms/JavaScript
TheAlgorithms,C-Plus-Plus,29000,http://github.com/TheAlgorithms/C-Plus-Plus
donnemartin,interactive-coding-challenges,29000,http://github.com/donnemartin/interactive-coding-challenges
crossoverJie,JCSprout,27000,http://github.com/crossoverJie/JCSprout
keon,algorithms,23000,http://github.com/keon/algorithms
mxgmn,WaveFunctionCollapse,23000,http://github.com/mxgmn/WaveFunctionCollapse
trekhleb,homemade-machine-learning,22000,http://github.com/trekhleb/homemade-machine-learning
