Username,Repo_name,Stars,Repo_url
bregman-arie,devops-exercises,64000,http://github.com/bregman-arie/devops-exercises
ByteByteGoHq,system-design-101,60000,http://github.com/ByteByteGoHq/system-design-101
localstack,localstack,52000,http://github.com/localstack/localstack
serverless,serverless,46000,http://github.com/serverless/serverless
donnemartin,data-science-ipython-notebooks,26000,http://github.com/donnemartin/data-science-ipython-notebooks
sst,sst,21000,http://github.com/sst/sst
pulumi,pulumi,20000,http://github.com/pulumi/pulumi
getsops,sops,15000,http://github.com/getsops/sops
kubernetes-sigs,kubespray,15000,http://github.com/kubernetes-sigs/kubespray
aws,aws-cli,15000,http://github.com/aws/aws-cli
ramitsurana,awesome-kubernetes,14000,http://github.com/ramitsurana/awesome-kubernetes
caprover,caprover,12000,http://github.com/caprover/caprover
donnemartin,awesome-aws,12000,http://github.com/donnemartin/awesome-aws
GoogleCloudPlatform,terraformer,12000,http://github.com/GoogleCloudPlatform/terraformer
aws,aws-cdk,11000,http://github.com/aws/aws-cdk
apereo,cas,10000,http://github.com/apereo/cas
aws,chalice,10000,http://github.com/aws/chalice
infracost,infracost,10000,http://github.com/infracost/infracost
phidatahq,phidata,10000,http://github.com/phidatahq/phidata
milanm,DevOps-Roadmap,10000,http://github.com/milanm/DevOps-Roadmap
