Username,Repo_name,Stars,Repo_url
amphp,amp,4000,http://github.com/amphp/amp
danog,MadelineProto,2000,http://github.com/danog/MadelineProto
unreal4u,telegram-api,784,http://github.com/unreal4u/telegram-api
amphp,parallel,759,http://github.com/amphp/parallel
amphp,http-client,700,http://github.com/amphp/http-client
amphp,byte-stream,362,http://github.com/amphp/byte-stream
amphp,mysql,352,http://github.com/amphp/mysql
php-service-bus,service-bus,350,http://github.com/php-service-bus/service-bus
amphp,parallel-functions,268,http://github.com/amphp/parallel-functions
amphp,process,227,http://github.com/amphp/process
xtrime-ru,TelegramRSS,217,http://github.com/xtrime-ru/TelegramRSS
amphp,socket,216,http://github.com/amphp/socket
amphp,sync,157,http://github.com/amphp/sync
amphp,dns,154,http://github.com/amphp/dns
amphp,redis,153,http://github.com/amphp/redis
amphp,websocket-client,140,http://github.com/amphp/websocket-client
kelunik,acme,121,http://github.com/kelunik/acme
amphp,websocket-server,114,http://github.com/amphp/websocket-server
amphp,serialization,107,http://github.com/amphp/serialization
amphp,cache,97,http://github.com/amphp/cache
