Username,Repo_name,Stars,Repo_url
flutter,flutter,163000,http://github.com/flutter/flutter
facebook,react-native,117000,http://github.com/facebook/react-native
justjavac,free-programming-books-zh_CN,110000,http://github.com/justjavac/free-programming-books-zh_CN
Genymobile,scrcpy,105000,http://github.com/Genymobile/scrcpy
Hack-with-Github,Awesome-Hacking,79000,http://github.com/Hack-with-Github/Awesome-Hacking
Solido,awesome-flutter,52000,http://github.com/Solido/awesome-flutter
google,material-design-icons,50000,http://github.com/google/material-design-icons
wasabeef,awesome-android-ui,49000,http://github.com/wasabeef/awesome-android-ui
tldr-pages,tldr,49000,http://github.com/tldr-pages/tldr
square,okhttp,45000,http://github.com/square/okhttp
laurent22,joplin,44000,http://github.com/laurent22/joplin
android,architecture-samples,44000,http://github.com/android/architecture-samples
square,retrofit,42000,http://github.com/square/retrofit
appwrite,appwrite,42000,http://github.com/appwrite/appwrite
skylot,jadx,40000,http://github.com/skylot/jadx
dcloudio,uni-app,39000,http://github.com/dcloudio/uni-app
fastlane,fastlane,38000,http://github.com/fastlane/fastlane
PhilJay,MPAndroidChart,37000,http://github.com/PhilJay/MPAndroidChart
shadowsocks,shadowsocks-android,34000,http://github.com/shadowsocks/shadowsocks-android
airbnb,lottie-android,34000,http://github.com/airbnb/lottie-android
