Username,Repo_name,Stars,Repo_url
justjavac,free-programming-books-zh_CN,110000,http://github.com/justjavac/free-programming-books-zh_CN
angular,angular,95000,http://github.com/angular/angular
storybookjs,storybook,83000,http://github.com/storybookjs/storybook
leonardomso,33-js-concepts,62000,http://github.com/leonardomso/33-js-concepts
ionic-team,ionic-framework,50000,http://github.com/ionic-team/ionic-framework
prettier,prettier,48000,http://github.com/prettier/prettier
Asabeneh,30-Days-Of-JavaScript,41000,http://github.com/Asabeneh/30-Days-Of-JavaScript
SheetJS,sheetjs,34000,http://github.com/SheetJS/sheetjs
angular,angular-cli,26000,http://github.com/angular/angular-cli
angular,components,24000,http://github.com/angular/components
NativeScript,NativeScript,23000,http://github.com/NativeScript/NativeScript
goldbergyoni,javascript-testing-best-practices,23000,http://github.com/goldbergyoni/javascript-testing-best-practices
wailsapp,wails,23000,http://github.com/wailsapp/wails
sudheerj,javascript-interview-questions,22000,http://github.com/sudheerj/javascript-interview-questions
nrwl,nx,22000,http://github.com/nrwl/nx
jhipster,generator-jhipster,21000,http://github.com/jhipster/generator-jhipster
pubkey,rxdb,20000,http://github.com/pubkey/rxdb
paperless-ngx,paperless-ngx,18000,http://github.com/paperless-ngx/paperless-ngx
teambit,bit,17000,http://github.com/teambit/bit
sweetalert2,sweetalert2,17000,http://github.com/sweetalert2/sweetalert2
