Username,Repo_name,Stars,Repo_url
bregman-arie,devops-exercises,64000,http://github.com/bregman-arie/devops-exercises
ansible,ansible,61000,http://github.com/ansible/ansible
trailofbits,algo,28000,http://github.com/trailofbits/algo
MichaelCade,90DaysOfDevOps,26000,http://github.com/MichaelCade/90DaysOfDevOps
StreisandEffect,streisand,23000,http://github.com/StreisandEffect/streisand
kubernetes-sigs,kubespray,15000,http://github.com/kubernetes-sigs/kubespray
ansible,awx,13000,http://github.com/ansible/awx
easzlab,kubeasz,10000,http://github.com/easzlab/kubeasz
semaphoreui,semaphore,9000,http://github.com/semaphoreui/semaphore
netbootxyz,netboot.xyz,8000,http://github.com/netbootxyz/netboot.xyz
geerlingguy,ansible-for-devops,8000,http://github.com/geerlingguy/ansible-for-devops
khuedoan,homelab,7000,http://github.com/khuedoan/homelab
Tikam02,DevOps-Guide,7000,http://github.com/Tikam02/DevOps-Guide
geerlingguy,mac-dev-playbook,5000,http://github.com/geerlingguy/mac-dev-playbook
rundeck,rundeck,5000,http://github.com/rundeck/rundeck
KubeOperator,KubeOperator,5000,http://github.com/KubeOperator/KubeOperator
clong,DetectionLab,4000,http://github.com/clong/DetectionLab
ChristianLempa,boilerplates,3000,http://github.com/ChristianLempa/boilerplates
ansible,molecule,3000,http://github.com/ansible/molecule
dev-sec,ansible-collection-hardening,3000,http://github.com/dev-sec/ansible-collection-hardening
