Username,Repo_name,Stars,Repo_url
arendst,Tasmota,21000,http://github.com/arendst/Tasmota
MarlinFirmware,Marlin,16000,http://github.com/MarlinFirmware/Marlin
tinygo-org,tinygo,14000,http://github.com/tinygo-org/tinygo
arduino,Arduino,14000,http://github.com/arduino/Arduino
rwaldron,johnny-five,13000,http://github.com/rwaldron/johnny-five
SpacehuhnTech,esp8266_deauther,13000,http://github.com/SpacehuhnTech/esp8266_deauther
espressif,arduino-esp32,13000,http://github.com/espressif/arduino-esp32
gurugio,lowlevelprogramming-university,9000,http://github.com/gurugio/lowlevelprogramming-university
hybridgroup,gobot,8000,http://github.com/hybridgroup/gobot
platformio,platformio-core,7000,http://github.com/platformio/platformio-core
bblanchon,ArduinoJson,6000,http://github.com/bblanchon/ArduinoJson
tzapu,WiFiManager,6000,http://github.com/tzapu/WiFiManager
justcallmekoko,ESP32Marauder,4000,http://github.com/justcallmekoko/ESP32Marauder
olikraus,u8g2,4000,http://github.com/olikraus/u8g2
ClemensElflein,OpenMower,4000,http://github.com/ClemensElflein/OpenMower
omriharel,deej,4000,http://github.com/omriharel/deej
Arduino-IRremote,Arduino-IRremote,4000,http://github.com/Arduino-IRremote/Arduino-IRremote
arduino,arduino-cli,4000,http://github.com/arduino/arduino-cli
Serial-Studio,Serial-Studio,4000,http://github.com/Serial-Studio/Serial-Studio
hybridgroup,cylon,4000,http://github.com/hybridgroup/cylon
