Username,Repo_name,Stars,Repo_url
sindresorhus,awesome,309000,http://github.com/sindresorhus/awesome
vinta,awesome-python,211000,http://github.com/vinta/awesome-python
awesome-selfhosted,awesome-selfhosted,186000,http://github.com/awesome-selfhosted/awesome-selfhosted
trimstray,the-book-of-secret-knowledge,136000,http://github.com/trimstray/the-book-of-secret-knowledge
avelino,awesome-go,124000,http://github.com/avelino/awesome-go
521xueweihan,HelloGitHub,87000,http://github.com/521xueweihan/HelloGitHub
papers-we-love,papers-we-love,85000,http://github.com/papers-we-love/papers-we-love
Hack-with-Github,Awesome-Hacking,79000,http://github.com/Hack-with-Github/Awesome-Hacking
jaywcjlove,awesome-mac,72000,http://github.com/jaywcjlove/awesome-mac
DopplerHQ,awesome-interview-questions,68000,http://github.com/DopplerHQ/awesome-interview-questions
MunGell,awesome-for-beginners,65000,http://github.com/MunGell/awesome-for-beginners
enaqx,awesome-react,63000,http://github.com/enaqx/awesome-react
sindresorhus,awesome-nodejs,56000,http://github.com/sindresorhus/awesome-nodejs
fffaraz,awesome-cpp,56000,http://github.com/fffaraz/awesome-cpp
binhnguyennus,awesome-scalability,56000,http://github.com/binhnguyennus/awesome-scalability
prakhar1989,awesome-courses,55000,http://github.com/prakhar1989/awesome-courses
Solido,awesome-flutter,52000,http://github.com/Solido/awesome-flutter
wasabeef,awesome-android-ui,49000,http://github.com/wasabeef/awesome-android-ui
tiimgreen,github-cheat-sheet,46000,http://github.com/tiimgreen/github-cheat-sheet
vsouza,awesome-ios,46000,http://github.com/vsouza/awesome-ios
