Username,Repo_name,Stars,Repo_url
bregman-arie,devops-exercises,64000,http://github.com/bregman-arie/devops-exercises
microsoft,generative-ai-for-beginners,51000,http://github.com/microsoft/generative-ai-for-beginners
pulumi,pulumi,20000,http://github.com/pulumi/pulumi
recommenders-team,recommenders,18000,http://github.com/recommenders-team/recommenders
getsops,sops,15000,http://github.com/getsops/sops
danny-avila,LibreChat,15000,http://github.com/danny-avila/LibreChat
ramitsurana,awesome-kubernetes,14000,http://github.com/ramitsurana/awesome-kubernetes
Azure,azure-quickstart-templates,13000,http://github.com/Azure/azure-quickstart-templates
caprover,caprover,12000,http://github.com/caprover/caprover
infracost,infracost,10000,http://github.com/infracost/infracost
milanm,DevOps-Roadmap,10000,http://github.com/milanm/DevOps-Roadmap
prowler-cloud,prowler,9000,http://github.com/prowler-cloud/prowler
google,go-cloud,9000,http://github.com/google/go-cloud
microsoft,computervision-recipes,9000,http://github.com/microsoft/computervision-recipes
budtmo,docker-android,8000,http://github.com/budtmo/docker-android
Netflix,metaflow,7000,http://github.com/Netflix/metaflow
microsoft,azuredatastudio,7000,http://github.com/microsoft/azuredatastudio
midwayjs,midway,7000,http://github.com/midwayjs/midway
node-formidable,formidable,7000,http://github.com/node-formidable/formidable
thangchung,clean-code-dotnet,6000,http://github.com/thangchung/clean-code-dotnet
