Username,Repo_name,Stars,Repo_url
babel,babel,43000,http://github.com/babel/babel
swc-project,swc,30000,http://github.com/swc-project/swc
nylas,nylas-mail,24000,http://github.com/nylas/nylas-mail
electron-react-boilerplate,electron-react-boilerplate,22000,http://github.com/electron-react-boilerplate/electron-react-boilerplate
SimulatedGREG,electron-vue,15000,http://github.com/SimulatedGREG/electron-vue
grab,front-end-guide,15000,http://github.com/grab/front-end-guide
jamiebuilds,babel-handbook,12000,http://github.com/jamiebuilds/babel-handbook
developit,htm,8000,http://github.com/developit/htm
grommet,grommet,8000,http://github.com/grommet/grommet
ben-rogerson,twin.macro,7000,http://github.com/ben-rogerson/twin.macro
ast-grep,ast-grep,6000,http://github.com/ast-grep/ast-grep
angular-fullstack,generator-angular-fullstack,6000,http://github.com/angular-fullstack/generator-angular-fullstack
fkling,astexplorer,6000,http://github.com/fkling/astexplorer
documentationjs,documentation,5000,http://github.com/documentationjs/documentation
insin,nwb,5000,http://github.com/insin/nwb
thx,gogocode,5000,http://github.com/thx/gogocode
thinkjs,thinkjs,5000,http://github.com/thinkjs/thinkjs
egoist,poi,5000,http://github.com/egoist/poi
duxianwei520,react,5000,http://github.com/duxianwei520/react
babel,babel-loader,4000,http://github.com/babel/babel-loader
