Username,Repo_name,Stars,Repo_url
jlevy,the-art-of-command-line,151000,http://github.com/jlevy/the-art-of-command-line
nvm-sh,nvm,77000,http://github.com/nvm-sh/nvm
junegunn,fzf,61000,http://github.com/junegunn/fzf
starship,starship,42000,http://github.com/starship/starship
google,zx,42000,http://github.com/google/zx
LeCoupa,awesome-cheatsheets,38000,http://github.com/LeCoupa/awesome-cheatsheets
acmesh-official,acme.sh,37000,http://github.com/acmesh-official/acme.sh
dylanaraps,pure-bash-bible,36000,http://github.com/dylanaraps/pure-bash-bible
koalaman,shellcheck,35000,http://github.com/koalaman/shellcheck
alebcay,awesome-shell,31000,http://github.com/alebcay/awesome-shell
mathiasbynens,dotfiles,30000,http://github.com/mathiasbynens/dotfiles
jaywcjlove,linux-command,29000,http://github.com/jaywcjlove/linux-command
withfig,autocomplete,24000,http://github.com/withfig/autocomplete
dylanaraps,neofetch,21000,http://github.com/dylanaraps/neofetch
kingToolbox,WindTerm,21000,http://github.com/kingToolbox/WindTerm
asdf-vm,asdf,21000,http://github.com/asdf-vm/asdf
ajeetdsouza,zoxide,20000,http://github.com/ajeetdsouza/zoxide
warpdotdev,Warp,20000,http://github.com/warpdotdev/Warp
Nyr,openvpn-install,18000,http://github.com/Nyr/openvpn-install
atuinsh,atuin,18000,http://github.com/atuinsh/atuin
