Username,Repo_name,Stars,Repo_url
bitcoin,bitcoin,77000,http://github.com/bitcoin/bitcoin
ccxt,ccxt,31000,http://github.com/ccxt/ccxt
freqtrade,freqtrade,26000,http://github.com/freqtrade/freqtrade
bitcoinbook,bitcoinbook,23000,http://github.com/bitcoinbook/bitcoinbook
HelloZeroNet,ZeroNet,18000,http://github.com/HelloZeroNet/ZeroNet
solana-labs,solana,12000,http://github.com/solana-labs/solana
bbfamily,abu,11000,http://github.com/bbfamily/abu
askmike,gekko,10000,http://github.com/askmike/gekko
dvf,blockchain,7000,http://github.com/dvf/blockchain
lightningnetwork,lnd,7000,http://github.com/lightningnetwork/lnd
spesmilo,electrum,7000,http://github.com/spesmilo/electrum
lbryio,lbry-sdk,7000,http://github.com/lbryio/lbry-sdk
getumbrel,umbrel,6000,http://github.com/getumbrel/umbrel
yeasy,blockchain_guide,6000,http://github.com/yeasy/blockchain_guide
UFund-Me,Qbot,6000,http://github.com/UFund-Me/Qbot
btcpayserver,btcpayserver,6000,http://github.com/btcpayserver/btcpayserver
btcsuite,btcd,6000,http://github.com/btcsuite/btcd
bitcoinjs,bitcoinjs-lib,5000,http://github.com/bitcoinjs/bitcoinjs-lib
jesse-ai,jesse,5000,http://github.com/jesse-ai/jesse
anders94,blockchain-demo,5000,http://github.com/anders94/blockchain-demo
