Username,Repo_name,Stars,Repo_url
ccxt,ccxt,31000,http://github.com/ccxt/ccxt
python-telegram-bot,python-telegram-bot,25000,http://github.com/python-telegram-bot/python-telegram-bot
discordjs,discord.js,25000,http://github.com/discordjs/discord.js
wechaty,wechaty,19000,http://github.com/wechaty/wechaty
RasaHQ,rasa,18000,http://github.com/RasaHQ/rasa
hubotio,hubot,16000,http://github.com/hubotio/hubot
InstaPy,InstaPy,16000,http://github.com/InstaPy/InstaPy
leon-ai,leon,14000,http://github.com/leon-ai/leon
Rapptz,discord.py,14000,http://github.com/Rapptz/discord.py
pedroslopez,whatsapp-web.js,14000,http://github.com/pedroslopez/whatsapp-web.js
tgbot-collection,YYeTsBot,14000,http://github.com/tgbot-collection/YYeTsBot
gunthercox,ChatterBot,14000,http://github.com/gunthercox/ChatterBot
lss233,chatgpt-mirai-qq-bot,12000,http://github.com/lss233/chatgpt-mirai-qq-bot
howdyai,botkit,11000,http://github.com/howdyai/botkit
Mrs4s,go-cqhttp,10000,http://github.com/Mrs4s/go-cqhttp
sfyc23,EverydayWechat,9000,http://github.com/sfyc23/EverydayWechat
yagop,node-telegram-bot-api,8000,http://github.com/yagop/node-telegram-bot-api
telegraf,telegraf,7000,http://github.com/telegraf/telegraf
microsoft,ailab,7000,http://github.com/microsoft/ailab
microsoft,botframework-sdk,7000,http://github.com/microsoft/botframework-sdk
