Username,Repo_name,Stars,Repo_url
Genymobile,scrcpy,105000,http://github.com/Genymobile/scrcpy
neovim,neovim,79000,http://github.com/neovim/neovim
obsproject,obs-studio,57000,http://github.com/obsproject/obs-studio
fffaraz,awesome-cpp,56000,http://github.com/fffaraz/awesome-cpp
git,git,50000,http://github.com/git/git
FFmpeg,FFmpeg,43000,http://github.com/FFmpeg/FFmpeg
serhii-londar,open-source-mac-os-apps,40000,http://github.com/serhii-londar/open-source-mac-os-apps
vim,vim,35000,http://github.com/vim/vim
curl,curl,34000,http://github.com/curl/curl
huihut,interview,33000,http://github.com/huihut/interview
mpv-player,mpv,26000,http://github.com/mpv-player/mpv
ggreer,the_silver_searcher,25000,http://github.com/ggreer/the_silver_searcher
ossrs,srs,24000,http://github.com/ossrs/srs
kovidgoyal,kitty,22000,http://github.com/kovidgoyal/kitty
google,flatbuffers,22000,http://github.com/google/flatbuffers
microsoft,vcpkg,22000,http://github.com/microsoft/vcpkg
ruby,ruby,21000,http://github.com/ruby/ruby
raysan5,raylib,20000,http://github.com/raysan5/raylib
hashcat,hashcat,20000,http://github.com/hashcat/hashcat
radareorg,radare2,19000,http://github.com/radareorg/radare2
