Username,Repo_name,Stars,Repo_url
electron,electron,113000,http://github.com/electron/electron
puppeteer,puppeteer,87000,http://github.com/puppeteer/puppeteer
microsoft,playwright,63000,http://github.com/microsoft/playwright
iamadamdev,bypass-paywalls-chrome,47000,http://github.com/iamadamdev/bypass-paywalls-chrome
FiloSottile,mkcert,46000,http://github.com/FiloSottile/mkcert
jaywcjlove,linux-command,29000,http://github.com/jaywcjlove/linux-command
ovity,octotree,22000,http://github.com/ovity/octotree
segment-boneyard,nightmare,19000,http://github.com/segment-boneyard/nightmare
checkly,headless-recorder,15000,http://github.com/checkly/headless-recorder
GoogleChrome,chrome-extensions-samples,14000,http://github.com/GoogleChrome/chrome-extensions-samples
gildas-lormeau,SingleFile,14000,http://github.com/gildas-lormeau/SingleFile
google,WebFundamentals,13000,http://github.com/google/WebFundamentals
schickling,chromeless,13000,http://github.com/schickling/chromeless
casesandberg,react-color,11000,http://github.com/casesandberg/react-color
crimx,ext-saladict,11000,http://github.com/crimx/ext-saladict
MetaMask,metamask-extension,11000,http://github.com/MetaMask/metamask-extension
chromedp,chromedp,10000,http://github.com/chromedp/chromedp
moonD4rk,HackBrowserData,10000,http://github.com/moonD4rk/HackBrowserData
ajayyy,SponsorBlock,9000,http://github.com/ajayyy/SponsorBlock
ultrafunkamsterdam,undetected-chromedriver,9000,http://github.com/ultrafunkamsterdam/undetected-chromedriver
