Username,Repo_name,Stars,Repo_url
iamadamdev,bypass-paywalls-chrome,47000,http://github.com/iamadamdev/bypass-paywalls-chrome
jaywcjlove,linux-command,29000,http://github.com/jaywcjlove/linux-command
refined-github,refined-github,23000,http://github.com/refined-github/refined-github
openai-translator,openai-translator,23000,http://github.com/openai-translator/openai-translator
darkreader,darkreader,19000,http://github.com/darkreader/darkreader
dailydotdev,daily,17000,http://github.com/dailydotdev/daily
checkly,headless-recorder,15000,http://github.com/checkly/headless-recorder
gildas-lormeau,SingleFile,14000,http://github.com/gildas-lormeau/SingleFile
unbug,codelf,14000,http://github.com/unbug/codelf
immersive-translate,immersive-translate,13000,http://github.com/immersive-translate/immersive-translate
wong2,chatgpt-google-extension,13000,http://github.com/wong2/chatgpt-google-extension
Anarios,return-youtube-dislike,12000,http://github.com/Anarios/return-youtube-dislike
crimx,ext-saladict,11000,http://github.com/crimx/ext-saladict
listen1,listen1_chrome_extension,11000,http://github.com/listen1/listen1_chrome_extension
alyssaxuu,screenity,11000,http://github.com/alyssaxuu/screenity
AutomaApp,automa,10000,http://github.com/AutomaApp/automa
chathub-dev,chathub,9000,http://github.com/chathub-dev/chathub
josStorer,chatGPTBox,9000,http://github.com/josStorer/chatGPTBox
ajayyy,SponsorBlock,9000,http://github.com/ajayyy/SponsorBlock
PlasmoHQ,plasmo,8000,http://github.com/PlasmoHQ/plasmo
