Username,Repo_name,Stars,Repo_url
metabase,metabase,37000,http://github.com/metabase/metabase
logseq,logseq,30000,http://github.com/logseq/logseq
penpot,penpot,29000,http://github.com/penpot/penpot
deeplearning4j,deeplearning4j,13000,http://github.com/deeplearning4j/deeplearning4j
LightTable,LightTable,11000,http://github.com/LightTable/LightTable
kanaka,mal,9000,http://github.com/kanaka/mal
lk-geimfari,awesomo,9000,http://github.com/lk-geimfari/awesomo
tonsky,datascript,5000,http://github.com/tonsky/datascript
reagent-project,reagent,4000,http://github.com/reagent-project/reagent
izhangzhihao,intellij-rainbow-brackets,4000,http://github.com/izhangzhihao/intellij-rainbow-brackets
riemann,riemann,4000,http://github.com/riemann/riemann
weavejester,compojure,4000,http://github.com/weavejester/compojure
bbatsov,clojure-style-guide,4000,http://github.com/bbatsov/clojure-style-guide
defold,defold,3000,http://github.com/defold/defold
babashka,babashka,3000,http://github.com/babashka/babashka
status-im,status-mobile,3000,http://github.com/status-im/status-mobile
ring-clojure,ring,3000,http://github.com/ring-clojure/ring
clojure-emacs,cider,3000,http://github.com/clojure-emacs/cider
viebel,klipse,3000,http://github.com/viebel/klipse
tallesl,Rich-Hickey-fanclub,3000,http://github.com/tallesl/Rich-Hickey-fanclub
