Username,Repo_name,Stars,Repo_url
realm,SwiftLint,18000,http://github.com/realm/SwiftLint
facebook,infer,14000,http://github.com/facebook/infer
analysis-tools-dev,static-analysis,13000,http://github.com/analysis-tools-dev/static-analysis
federico-busato,Modern-CPP-Programming,11000,http://github.com/federico-busato/Modern-CPP-Programming
Kristories,awesome-guidelines,9000,http://github.com/Kristories/awesome-guidelines
super-linter,super-linter,9000,http://github.com/super-linter/super-linter
SonarSource,sonarqube,8000,http://github.com/SonarSource/sonarqube
checkstyle,checkstyle,8000,http://github.com/checkstyle/checkstyle
reviewdog,reviewdog,7000,http://github.com/reviewdog/reviewdog
facebook,pyre-check,6000,http://github.com/facebook/pyre-check
detekt,detekt,6000,http://github.com/detekt/detekt
trekhleb,state-of-the-art-shitcode,5000,http://github.com/trekhleb/state-of-the-art-shitcode
import-js,eslint-plugin-import,5000,http://github.com/import-js/eslint-plugin-import
pylint-dev,pylint,5000,http://github.com/pylint-dev/pylint
simplecov-ruby,simplecov,4000,http://github.com/simplecov-ruby/simplecov
pmd,pmd,4000,http://github.com/pmd/pmd
kucherenko,jscpd,4000,http://github.com/kucherenko/jscpd
phpro,grumphp,4000,http://github.com/phpro/grumphp
htmlhint,HTMLHint,3000,http://github.com/htmlhint/HTMLHint
codeclimate,codeclimate,2000,http://github.com/codeclimate/codeclimate
