Username,Repo_name,Stars,Repo_url
ovity,octotree,22000,http://github.com/ovity/octotree
gitpod-io,gitpod,12000,http://github.com/gitpod-io/gitpod
reviewdog,reviewdog,7000,http://github.com/reviewdog/reviewdog
danger,danger,5000,http://github.com/danger/danger
danger,danger-js,5000,http://github.com/danger/danger-js
Codium-ai,pr-agent,4000,http://github.com/Codium-ai/pr-agent
joho,awesome-code-review,4000,http://github.com/joho/awesome-code-review
ajinabraham,nodejsscan,2000,http://github.com/ajinabraham/nodejsscan
microsoft,vscode-pull-request-github,2000,http://github.com/microsoft/vscode-pull-request-github
crev-dev,cargo-crev,2000,http://github.com/crev-dev/cargo-crev
houndci,hound,1000,http://github.com/houndci/hound
mbj,mutant,1000,http://github.com/mbj/mutant
Tencent,CodeAnalysis,1000,http://github.com/Tencent/CodeAnalysis
reviewboard,reviewboard,1000,http://github.com/reviewboard/reviewboard
ryanmcdermott,code-review-tips,1000,http://github.com/ryanmcdermott/code-review-tips
coderabbitai,ai-pr-reviewer,1000,http://github.com/coderabbitai/ai-pr-reviewer
mattzcarey,code-review-gpt,1000,http://github.com/mattzcarey/code-review-gpt
bit4woo,python_sec,1000,http://github.com/bit4woo/python_sec
code-review-checklists,java-concurrency,1000,http://github.com/code-review-checklists/java-concurrency
jiangsir404,Audit-Learning,961,http://github.com/jiangsir404/Audit-Learning
