Username,Repo_name,Stars,Repo_url
ohmyzsh,ohmyzsh,171000,http://github.com/ohmyzsh/ohmyzsh
junegunn,fzf,61000,http://github.com/junegunn/fzf
sherlock-project,sherlock,52000,http://github.com/sherlock-project/sherlock
jesseduffield,lazygit,47000,http://github.com/jesseduffield/lazygit
sharkdp,bat,47000,http://github.com/sharkdp/bat
BurntSushi,ripgrep,46000,http://github.com/BurntSushi/ripgrep
wagoodman,dive,44000,http://github.com/wagoodman/dive
n8n-io,n8n,42000,http://github.com/n8n-io/n8n
google,zx,42000,http://github.com/google/zx
chubin,cheat.sh,37000,http://github.com/chubin/cheat.sh
spf13,cobra,36000,http://github.com/spf13/cobra
cli,cli,36000,http://github.com/cli/cli
httpie,cli,32000,http://github.com/httpie/cli
sharkdp,fd,32000,http://github.com/sharkdp/fd
alebcay,awesome-shell,31000,http://github.com/alebcay/awesome-shell
ibraheemdev,modern-unix,30000,http://github.com/ibraheemdev/modern-unix
acheong08,ChatGPT,28000,http://github.com/acheong08/ChatGPT
tqdm,tqdm,27000,http://github.com/tqdm/tqdm
angular,angular-cli,26000,http://github.com/angular/angular-cli
google,python-fire,26000,http://github.com/google/python-fire
