Username,Repo_name,Stars,Repo_url
vercel,next.js,123000,http://github.com/vercel/next.js
rust-lang,rust,94000,http://github.com/rust-lang/rust
sveltejs,svelte,77000,http://github.com/sveltejs/svelte
webpack,webpack,64000,http://github.com/webpack/webpack
FuelLabs,sway,63000,http://github.com/FuelLabs/sway
gatsbyjs,gatsby,55000,http://github.com/gatsbyjs/gatsby
JetBrains,kotlin,48000,http://github.com/JetBrains/kotlin
parcel-bundler,parcel,43000,http://github.com/parcel-bundler/parcel
babel,babel,43000,http://github.com/babel/babel
evanw,esbuild,37000,http://github.com/evanw/esbuild
vlang,v,35000,http://github.com/vlang/v
carbon-language,carbon-lang,32000,http://github.com/carbon-language/carbon-lang
markedjs,marked,32000,http://github.com/markedjs/marked
ziglang,zig,32000,http://github.com/ziglang/zig
swc-project,swc,30000,http://github.com/swc-project/swc
typst,typst,29000,http://github.com/typst/typst
vercel,pkg,24000,http://github.com/vercel/pkg
v8,v8,22000,http://github.com/v8/v8
oracle,graal,20000,http://github.com/oracle/graal
crystal-lang,crystal,19000,http://github.com/crystal-lang/crystal
