Username,Repo_name,Stars,Repo_url
localstack,localstack,52000,http://github.com/localstack/localstack
harness,gitness,31000,http://github.com/harness/gitness
jenkinsci,jenkins,22000,http://github.com/jenkinsci/jenkins
auchenberg,volkswagen,14000,http://github.com/auchenberg/volkswagen
dagger,dagger,10000,http://github.com/dagger/dagger
milanm,DevOps-Roadmap,10000,http://github.com/milanm/DevOps-Roadmap
openshift,origin,8000,http://github.com/openshift/origin
concourse,concourse,7000,http://github.com/concourse/concourse
gocd,gocd,7000,http://github.com/gocd/gocd
buildbot,buildbot,5000,http://github.com/buildbot/buildbot
gaia-pipeline,gaia,5000,http://github.com/gaia-pipeline/gaia
Strider-CD,strider,4000,http://github.com/Strider-CD/strider
Flagsmith,flagsmith,4000,http://github.com/Flagsmith/flagsmith
jenkins-x,jx,4000,http://github.com/jenkins-x/jx
ovh,cds,4000,http://github.com/ovh/cds
TheLartians,ModernCppStarter,4000,http://github.com/TheLartians/ModernCppStarter
JamesIves,github-pages-deploy-action,4000,http://github.com/JamesIves/github-pages-deploy-action
werf,werf,4000,http://github.com/werf/werf
iterative,cml,4000,http://github.com/iterative/cml
xcpretty,xcpretty,3000,http://github.com/xcpretty/xcpretty
