Username,Repo_name,Stars,Repo_url
bitcoin,bitcoin,77000,http://github.com/bitcoin/bitcoin
ccxt,ccxt,31000,http://github.com/ccxt/ccxt
OpenBB-finance,OpenBBTerminal,26000,http://github.com/OpenBB-finance/OpenBBTerminal
freqtrade,freqtrade,26000,http://github.com/freqtrade/freqtrade
dogecoin,dogecoin,14000,http://github.com/dogecoin/dogecoin
monero-project,monero,8000,http://github.com/monero-project/monero
xmrig,xmrig,8000,http://github.com/xmrig/xmrig
kroma-network,tachyon,7000,http://github.com/kroma-network/tachyon
dvf,blockchain,7000,http://github.com/dvf/blockchain
hummingbot,hummingbot,7000,http://github.com/hummingbot/hummingbot
lightningnetwork,lnd,7000,http://github.com/lightningnetwork/lnd
lbryio,lbry-sdk,7000,http://github.com/lbryio/lbry-sdk
StockSharp,StockSharp,6000,http://github.com/StockSharp/StockSharp
firmai,financial-machine-learning,6000,http://github.com/firmai/financial-machine-learning
cosmos,cosmos-sdk,6000,http://github.com/cosmos/cosmos-sdk
sammchardy,python-binance,5000,http://github.com/sammchardy/python-binance
tendermint,tendermint,5000,http://github.com/tendermint/tendermint
jesse-ai,jesse,5000,http://github.com/jesse-ai/jesse
sea-protocol,seaprotocol,5000,http://github.com/sea-protocol/seaprotocol
mimblewimble,grin,5000,http://github.com/mimblewimble/grin
