Username,Repo_name,Stars,Repo_url
crystal-lang,crystal,19000,http://github.com/crystal-lang/crystal
kemalcr,kemal,3000,http://github.com/kemalcr/kemal
veelenga,awesome-crystal,3000,http://github.com/veelenga/awesome-crystal
luckyframework,lucky,2000,http://github.com/luckyframework/lucky
amberframework,amber,2000,http://github.com/amberframework/amber
getmango,Mango,1000,http://github.com/getmango/Mango
vitobotta,hetzner-k3s,1000,http://github.com/vitobotta/hetzner-k3s
ffwff,lilith,1000,http://github.com/ffwff/lilith
drujensen,fib,853,http://github.com/drujensen/fib
amethyst-framework,amethyst,647,http://github.com/amethyst-framework/amethyst
hanabi1224,Programming-Language-Benchmarks,613,http://github.com/hanabi1224/Programming-Language-Benchmarks
askn,crystal-by-example,548,http://github.com/askn/crystal-by-example
owasp-noir,noir,527,http://github.com/owasp-noir/noir
crystal-ameba,ameba,509,http://github.com/crystal-ameba/ameba
crystal-community,icr,502,http://github.com/crystal-community/icr
will,crystal-pg,460,http://github.com/will/crystal-pg
elbywan,crystalline,423,http://github.com/elbywan/crystalline
imdrasil,jennifer.cr,414,http://github.com/imdrasil/jennifer.cr
vim-crystal,vim-crystal,412,http://github.com/vim-crystal/vim-crystal
martenframework,marten,394,http://github.com/martenframework/marten
